45 5

X Y

0.0 -0.88 4.0 0.22 30.0 
0.0 0.0 2.0 3600.0 30.0 
0.0 -4.4 2.0 10.0 1.0 
0.0 0.0 2.0 40.0 2.0
0.0 -0.88 4.0 0.44 30.0 
0.0 0.0 2.0 3600.0 30.0 
0.0 -4.4 2.0 10.0 1.0 
0.0 0.0 2.0 40.0 2.0 
0.0 3.3 2.0 10.0 1.0
0.0 -0.88 4.0 0.66 30.0 
0.0 0.0 2.0 3600.0 30.0 
0.0 -4.4 2.0 10.0 1.0 
0.0 0.0 2.0 40.0 2.0 
0.0 3.3 2.0 10.0 1.0
0.0 -0.88 4.0 0.88 30.0 
0.0 0.0 2.0 3600.0 30.0 
0.0 -4.4 2.0 10.0 1.0 
0.0 0.0 2.0 40.0 2.0 
0.0 3.3 2.0 10.0 1.0
0.0 -0.88 4.0 1.1 30.0 
0.0 0.0 2.0 3600.0 30.0 
0.0 -4.4 2.0 10.0 1.0 
0.0 0.0 2.0 40.0 2.0 
0.0 3.3 2.0 10.0 1.0
0.0 -0.88 4.0 1.32 30.0 
0.0 0.0 2.0 3600.0 30.0 
0.0 -4.4 2.0 10.0 1.0 
0.0 0.0 2.0 40.0 2.0 
0.0 3.3 2.0 10.0 1.0
0.0 -0.88 4.0 1.54 30.0 
0.0 0.0 2.0 3600.0 30.0 
0.0 -4.4 2.0 10.0 1.0 
0.0 0.0 2.0 40.0 2.0 
0.0 3.3 2.0 10.0 1.0
0.0 -0.88 4.0 1.76 30.0 
0.0 0.0 2.0 3600.0 30.0 
0.0 -4.4 2.0 10.0 1.0 
0.0 0.0 2.0 40.0 2.0 
0.0 3.3 2.0 10.0 1.0
0.0 -0.88 4.0 1.98 30.0 
0.0 0.0 2.0 3600.0 30.0 
0.0 -4.4 2.0 10.0 1.0 
0.0 0.0 2.0 40.0 2.0 
0.0 3.3 2.0 10.0 1.0
0.0 -0.88 0.0 3.0 30.0
